run_id,protocol,trial,similarity,bytes_sent,transmitted_bytes,similarity_numeric
sweep_rbf_riblt_n100000_sim90_t2,rbf_riblt,2,0.9,3180880.0,3180880.0,0.9
sweep_rbf_riblt_n100000_sim90_t3,rbf_riblt,3,0.9,3091168.0,3091168.0,0.9
sweep_rbf_riblt_n100000_sim90_t4,rbf_riblt,4,0.9,3155340.0,3155340.0,0.9
sweep_rbf_riblt_n100000_sim90_t5,rbf_riblt,5,0.9,2987224.0,2987224.0,0.9
sweep_rbf_riblt_n100000_sim95_t1,rbf_riblt,1,0.95,1531612.0,1531612.0,0.95
sweep_rbf_riblt_n100000_sim95_t2,rbf_riblt,2,0.95,1486404.0,1486404.0,0.95
sweep_rbf_riblt_n100000_sim95_t3,rbf_riblt,3,0.95,1593456.0,1593456.0,0.95
sweep_rbf_riblt_n100000_sim95_t4,rbf_riblt,4,0.95,1522572.0,1522572.0,0.95
sweep_rbf_riblt_n100000_sim95_t5,rbf_riblt,5,0.95,1514964.0,1514964.0,0.95
sweep_rbf_riblt_n100000_sim97_t1,rbf_riblt,1,0.97,907028.0,907028.0,0.97
sweep_rbf_riblt_n100000_sim97_t2,rbf_riblt,2,0.97,931200.0,931200.0,0.97
sweep_rbf_riblt_n100000_sim97_t3,rbf_riblt,3,0.97,901792.0,901792.0,0.97
sweep_rbf_riblt_n100000_sim97_t4,rbf_riblt,4,0.97,963308.0,963308.0,0.97
sweep_rbf_riblt_n100000_sim97_t5,rbf_riblt,5,0.97,928900.0,928900.0,0.97
sweep_rbf_riblt_n100000_sim99_t1,rbf_riblt,1,0.99,332752.0,332752.0,0.99
sweep_rbf_riblt_n100000_sim99_t2,rbf_riblt,2,0.99,326416.0,326416.0,0.99
sweep_rbf_riblt_n100000_sim99_t3,rbf_riblt,3,0.99,329488.0,329488.0,0.99
sweep_rbf_riblt_n100000_sim99_t4,rbf_riblt,4,0.99,318720.0,318720.0,0.99
sweep_rbf_riblt_n100000_sim99_t5,rbf_riblt,5,0.99,338340.0,338340.0,0.99
sweep_riblt_n100000_sim00_t1,riblt,1,0,85663288.0,85663288.0,0.0
sweep_riblt_n100000_sim00_t2,riblt,2,0,85385156.0,85385156.0,0.0
sweep_riblt_n100000_sim00_t3,riblt,3,0,85660548.0,85660548.0,0.0
sweep_riblt_n100000_sim00_t4,riblt,4,0,85892180.0,85892180.0,0.0
sweep_riblt_n100000_sim00_t5,riblt,5,0,85449008.0,85449008.0,0.0
sweep_riblt_n100000_sim05_t1,riblt,1,0.05,77239888.0,77239888.0,0.05
sweep_riblt_n100000_sim05_t2,riblt,2,0.05,77342400.0,77342400.0,0.05
sweep_riblt_n100000_sim05_t3,riblt,3,0.05,77248112.0,77248112.0,0.05
sweep_riblt_n100000_sim05_t4,riblt,4,0.05,77352824.0,77352824.0,0.05
sweep_riblt_n100000_sim05_t5,riblt,5,0.05,77262032.0,77262032.0,0.05
sweep_riblt_n100000_sim100_t1,riblt,1,1,20384.0,20384.0,1.0
sweep_riblt_n100000_sim100_t2,riblt,2,1,20384.0,20384.0,1.0
sweep_riblt_n100000_sim100_t3,riblt,3,1,20384.0,20384.0,1.0
sweep_riblt_n100000_sim100_t4,riblt,4,1,20384.0,20384.0,1.0
sweep_riblt_n100000_sim100_t5,riblt,5,1,20384.0,20384.0,1.0
sweep_riblt_n100000_sim10_t1,riblt,1,0.1,70427032.0,70427032.0,0.1
sweep_riblt_n100000_sim10_t2,riblt,2,0.1,69927768.0,69927768.0,0.1
sweep_riblt_n100000_sim10_t3,riblt,3,0.1,70475864.0,70475864.0,0.1
sweep_riblt_n100000_sim10_t4,riblt,4,0.1,70088128.0,70088128.0,0.1
sweep_riblt_n100000_sim10_t5,riblt,5,0.1,70370076.0,70370076.0,0.1
sweep_riblt_n100000_sim20_t1,riblt,1,0.2,57366472.0,57366472.0,0.2
sweep_riblt_n100000_sim20_t2,riblt,2,0.2,57632996.0,57632996.0,0.2
