run_dir,iteration,bloom_slices,protocol,trial,similarity,run_id
sweep_rbf_riblt_n100000_sim85_t3,1,1,rbf_riblt,3,0.85,sweep_rbf_riblt_n100000_sim85_t3
sweep_rbf_riblt_n100000_sim85_t3,1,1,rbf_riblt,3,0.85,sweep_rbf_riblt_n100000_sim85_t3
sweep_rbf_riblt_n100000_sim85_t4,1,1,rbf_riblt,4,0.85,sweep_rbf_riblt_n100000_sim85_t4
sweep_rbf_riblt_n100000_sim85_t4,1,1,rbf_riblt,4,0.85,sweep_rbf_riblt_n100000_sim85_t4
sweep_rbf_riblt_n100000_sim85_t5,1,1,rbf_riblt,5,0.85,sweep_rbf_riblt_n100000_sim85_t5
sweep_rbf_riblt_n100000_sim85_t5,1,1,rbf_riblt,5,0.85,sweep_rbf_riblt_n100000_sim85_t5
sweep_rbf_riblt_n100000_sim90_t1,1,1,rbf_riblt,1,0.9,sweep_rbf_riblt_n100000_sim90_t1
sweep_rbf_riblt_n100000_sim90_t1,1,1,rbf_riblt,1,0.9,sweep_rbf_riblt_n100000_sim90_t1
sweep_rbf_riblt_n100000_sim90_t2,1,1,rbf_riblt,2,0.9,sweep_rbf_riblt_n100000_sim90_t2
sweep_rbf_riblt_n100000_sim90_t2,1,1,rbf_riblt,2,0.9,sweep_rbf_riblt_n100000_sim90_t2
sweep_rbf_riblt_n100000_sim90_t3,1,1,rbf_riblt,3,0.9,sweep_rbf_riblt_n100000_sim90_t3
sweep_rbf_riblt_n100000_sim90_t3,1,1,rbf_riblt,3,0.9,sweep_rbf_riblt_n100000_sim90_t3
sweep_rbf_riblt_n100000_sim90_t4,1,1,rbf_riblt,4,0.9,sweep_rbf_riblt_n100000_sim90_t4
sweep_rbf_riblt_n100000_sim90_t4,1,1,rbf_riblt,4,0.9,sweep_rbf_riblt_n100000_sim90_t4
sweep_rbf_riblt_n100000_sim90_t5,1,1,rbf_riblt,5,0.9,sweep_rbf_riblt_n100000_sim90_t5
sweep_rbf_riblt_n100000_sim90_t5,1,1,rbf_riblt,5,0.9,sweep_rbf_riblt_n100000_sim90_t5
sweep_rbf_riblt_n100000_sim95_t1,1,1,rbf_riblt,1,0.95,sweep_rbf_riblt_n100000_sim95_t1
sweep_rbf_riblt_n100000_sim95_t1,1,1,rbf_riblt,1,0.95,sweep_rbf_riblt_n100000_sim95_t1
sweep_rbf_riblt_n100000_sim95_t2,1,1,rbf_riblt,2,0.95,sweep_rbf_riblt_n100000_sim95_t2
sweep_rbf_riblt_n100000_sim95_t2,1,1,rbf_riblt,2,0.95,sweep_rbf_riblt_n100000_sim95_t2
sweep_rbf_riblt_n100000_sim95_t3,1,1,rbf_riblt,3,0.95,sweep_rbf_riblt_n100000_sim95_t3
sweep_rbf_riblt_n100000_sim95_t3,1,1,rbf_riblt,3,0.95,sweep_rbf_riblt_n100000_sim95_t3
sweep_rbf_riblt_n100000_sim95_t4,1,1,rbf_riblt,4,0.95,sweep_rbf_riblt_n100000_sim95_t4
sweep_rbf_riblt_n100000_sim95_t4,1,1,rbf_riblt,4,0.95,sweep_rbf_riblt_n100000_sim95_t4
sweep_rbf_riblt_n100000_sim95_t5,1,1,rbf_riblt,5,0.95,sweep_rbf_riblt_n100000_sim95_t5
sweep_rbf_riblt_n100000_sim95_t5,1,1,rbf_riblt,5,0.95,sweep_rbf_riblt_n100000_sim95_t5
sweep_rbf_riblt_n100000_sim97_t1,1,1,rbf_riblt,1,0.97,sweep_rbf_riblt_n100000_sim97_t1
sweep_rbf_riblt_n100000_sim97_t1,1,1,rbf_riblt,1,0.97,sweep_rbf_riblt_n100000_sim97_t1
sweep_rbf_riblt_n100000_sim97_t2,1,1,rbf_riblt,2,0.97,sweep_rbf_riblt_n100000_sim97_t2
sweep_rbf_riblt_n100000_sim97_t2,1,1,rbf_riblt,2,0.97,sweep_rbf_riblt_n100000_sim97_t2
sweep_rbf_riblt_n100000_sim97_t3,1,1,rbf_riblt,3,0.97,sweep_rbf_riblt_n100000_sim97_t3
sweep_rbf_riblt_n100000_sim97_t3,1,1,rbf_riblt,3,0.97,sweep_rbf_riblt_n100000_sim97_t3
sweep_rbf_riblt_n100000_sim97_t4,1,1,rbf_riblt,4,0.97,sweep_rbf_riblt_n100000_sim97_t4
sweep_rbf_riblt_n100000_sim97_t4,1,1,rbf_riblt,4,0.97,sweep_rbf_riblt_n100000_sim97_t4
sweep_rbf_riblt_n100000_sim97_t5,1,1,rbf_riblt,5,0.97,sweep_rbf_riblt_n100000_sim97_t5
sweep_rbf_riblt_n100000_sim97_t5,1,1,rbf_riblt,5,0.97,sweep_rbf_riblt_n100000_sim97_t5
sweep_rbf_riblt_n100000_sim99_t1,1,1,rbf_riblt,1,0.99,sweep_rbf_riblt_n100000_sim99_t1
sweep_rbf_riblt_n100000_sim99_t1,1,1,rbf_riblt,1,0.99,sweep_rbf_riblt_n100000_sim99_t1
sweep_rbf_riblt_n100000_sim99_t2,1,1,rbf_riblt,2,0.99,sweep_rbf_riblt_n100000_sim99_t2
sweep_rbf_riblt_n100000_sim99_t2,1,1,rbf_riblt,2,0.99,sweep_rbf_riblt_n100000_sim99_t2
sweep_rbf_riblt_n100000_sim99_t3,1,1,rbf_riblt,3,0.99,sweep_rbf_riblt_n100000_sim99_t3
sweep_rbf_riblt_n100000_sim99_t3,1,1,rbf_riblt,3,0.99,sweep_rbf_riblt_n100000_sim99_t3
sweep_rbf_riblt_n100000_sim99_t4,1,1,rbf_riblt,4,0.99,sweep_rbf_riblt_n100000_sim99_t4
sweep_rbf_riblt_n100000_sim99_t4,1,1,rbf_riblt,4,0.99,sweep_rbf_riblt_n100000_sim99_t4
sweep_rbf_riblt_n100000_sim99_t5,1,1,rbf_riblt,5,0.99,sweep_rbf_riblt_n100000_sim99_t5
sweep_rbf_riblt_n100000_sim99_t5,1,1,rbf_riblt,5,0.99,sweep_rbf_riblt_n100000_sim99_t5
sweep_rbf_riblt_n100000_sim100_t1,1,1,rbf_riblt,1,1,sweep_rbf_riblt_n100000_sim100_t1
sweep_rbf_riblt_n100000_sim100_t1,1,1,rbf_riblt,1,1,sweep_rbf_riblt_n100000_sim100_t1
sweep_rbf_riblt_n100000_sim100_t2,1,1,rbf_riblt,2,1,sweep_rbf_riblt_n100000_sim100_t2
sweep_rbf_riblt_n100000_sim100_t2,1,1,rbf_riblt,2,1,sweep_rbf_riblt_n100000_sim100_t2
sweep_rbf_riblt_n100000_sim100_t3,1,1,rbf_riblt,3,1,sweep_rbf_riblt_n100000_sim100_t3
sweep_rbf_riblt_n100000_sim100_t3,1,1,rbf_riblt,3,1,sweep_rbf_riblt_n100000_sim100_t3
sweep_rbf_riblt_n100000_sim100_t4,1,1,rbf_riblt,4,1,sweep_rbf_riblt_n100000_sim100_t4
sweep_rbf_riblt_n100000_sim100_t4,1,1,rbf_riblt,4,1,sweep_rbf_riblt_n100000_sim100_t4
sweep_rbf_riblt_n100000_sim100_t5,1,1,rbf_riblt,5,1,sweep_rbf_riblt_n100000_sim100_t5
sweep_rbf_riblt_n100000_sim100_t5,1,1,rbf_riblt,5,1,sweep_rbf_riblt_n100000_sim100_t5
