run_dir,iteration,scom_size,protocol,trial,similarity,run_id
sweep_rbf_riblt_n100000_sim80_t1,1,91617,rbf_riblt,1,0.8,sweep_rbf_riblt_n100000_sim80_t1
sweep_rbf_riblt_n100000_sim80_t1,1,91716,rbf_riblt,1,0.8,sweep_rbf_riblt_n100000_sim80_t1
sweep_rbf_riblt_n100000_sim80_t2,1,91621,rbf_riblt,2,0.8,sweep_rbf_riblt_n100000_sim80_t2
sweep_rbf_riblt_n100000_sim80_t2,1,91635,rbf_riblt,2,0.8,sweep_rbf_riblt_n100000_sim80_t2
sweep_rbf_riblt_n100000_sim80_t3,1,91700,rbf_riblt,3,0.8,sweep_rbf_riblt_n100000_sim80_t3
sweep_rbf_riblt_n100000_sim80_t3,1,91669,rbf_riblt,3,0.8,sweep_rbf_riblt_n100000_sim80_t3
sweep_rbf_riblt_n100000_sim80_t4,1,91652,rbf_riblt,4,0.8,sweep_rbf_riblt_n100000_sim80_t4
sweep_rbf_riblt_n100000_sim80_t4,1,91693,rbf_riblt,4,0.8,sweep_rbf_riblt_n100000_sim80_t4
sweep_rbf_riblt_n100000_sim80_t5,1,91632,rbf_riblt,5,0.8,sweep_rbf_riblt_n100000_sim80_t5
sweep_rbf_riblt_n100000_sim80_t5,1,91728,rbf_riblt,5,0.8,sweep_rbf_riblt_n100000_sim80_t5
sweep_rbf_riblt_n100000_sim85_t1,1,96044,rbf_riblt,1,0.85,sweep_rbf_riblt_n100000_sim85_t1
sweep_rbf_riblt_n100000_sim85_t1,1,95929,rbf_riblt,1,0.85,sweep_rbf_riblt_n100000_sim85_t1
sweep_rbf_riblt_n100000_sim85_t2,1,95966,rbf_riblt,2,0.85,sweep_rbf_riblt_n100000_sim85_t2
sweep_rbf_riblt_n100000_sim85_t2,1,95903,rbf_riblt,2,0.85,sweep_rbf_riblt_n100000_sim85_t2
sweep_rbf_riblt_n100000_sim85_t3,1,95933,rbf_riblt,3,0.85,sweep_rbf_riblt_n100000_sim85_t3
sweep_rbf_riblt_n100000_sim85_t3,1,95810,rbf_riblt,3,0.85,sweep_rbf_riblt_n100000_sim85_t3
sweep_rbf_riblt_n100000_sim85_t4,1,95929,rbf_riblt,4,0.85,sweep_rbf_riblt_n100000_sim85_t4
sweep_rbf_riblt_n100000_sim85_t4,1,95973,rbf_riblt,4,0.85,sweep_rbf_riblt_n100000_sim85_t4
sweep_rbf_riblt_n100000_sim85_t5,1,95967,rbf_riblt,5,0.85,sweep_rbf_riblt_n100000_sim85_t5
sweep_rbf_riblt_n100000_sim85_t5,1,95885,rbf_riblt,5,0.85,sweep_rbf_riblt_n100000_sim85_t5
sweep_rbf_riblt_n100000_sim90_t1,1,97403,rbf_riblt,1,0.9,sweep_rbf_riblt_n100000_sim90_t1
sweep_rbf_riblt_n100000_sim90_t1,1,97353,rbf_riblt,1,0.9,sweep_rbf_riblt_n100000_sim90_t1
sweep_rbf_riblt_n100000_sim90_t2,1,97409,rbf_riblt,2,0.9,sweep_rbf_riblt_n100000_sim90_t2
sweep_rbf_riblt_n100000_sim90_t2,1,97312,rbf_riblt,2,0.9,sweep_rbf_riblt_n100000_sim90_t2
sweep_rbf_riblt_n100000_sim90_t3,1,97341,rbf_riblt,3,0.9,sweep_rbf_riblt_n100000_sim90_t3
sweep_rbf_riblt_n100000_sim90_t3,1,97341,rbf_riblt,3,0.9,sweep_rbf_riblt_n100000_sim90_t3
sweep_rbf_riblt_n100000_sim90_t4,1,97419,rbf_riblt,4,0.9,sweep_rbf_riblt_n100000_sim90_t4
sweep_rbf_riblt_n100000_sim90_t4,1,97405,rbf_riblt,4,0.9,sweep_rbf_riblt_n100000_sim90_t4
