run_dir,iteration,round_duration_seconds,protocol,trial,similarity,run_id
sweep_merkle_n100000_sim10_t3,1,1.964599109,merkle,3,0.1,sweep_merkle_n100000_sim10_t3
sweep_merkle_n100000_sim10_t3,1,2.092373246,merkle,3,0.1,sweep_merkle_n100000_sim10_t3
sweep_merkle_n100000_sim10_t4,1,2.32626658,merkle,4,0.1,sweep_merkle_n100000_sim10_t4
sweep_merkle_n100000_sim10_t4,1,2.344075298,merkle,4,0.1,sweep_merkle_n100000_sim10_t4
sweep_merkle_n100000_sim10_t5,1,2.169289749,merkle,5,0.1,sweep_merkle_n100000_sim10_t5
sweep_merkle_n100000_sim10_t5,1,2.20194486,merkle,5,0.1,sweep_merkle_n100000_sim10_t5
sweep_rbf_riblt_n100000_sim10_t1,1,1.203542139,rbf_riblt,1,0.1,sweep_rbf_riblt_n100000_sim10_t1
sweep_rbf_riblt_n100000_sim10_t1,1,1.411074647,rbf_riblt,1,0.1,sweep_rbf_riblt_n100000_sim10_t1
sweep_rbf_riblt_n100000_sim10_t2,1,1.329377441,rbf_riblt,2,0.1,sweep_rbf_riblt_n100000_sim10_t2
sweep_rbf_riblt_n100000_sim10_t2,1,1.50119264,rbf_riblt,2,0.1,sweep_rbf_riblt_n100000_sim10_t2
sweep_rbf_riblt_n100000_sim10_t3,1,1.271210989,rbf_riblt,3,0.1,sweep_rbf_riblt_n100000_sim10_t3
sweep_rbf_riblt_n100000_sim10_t3,1,1.395299442,rbf_riblt,3,0.1,sweep_rbf_riblt_n100000_sim10_t3
sweep_rbf_riblt_n100000_sim10_t4,1,1.188755452,rbf_riblt,4,0.1,sweep_rbf_riblt_n100000_sim10_t4
sweep_rbf_riblt_n100000_sim10_t4,1,1.425864379,rbf_riblt,4,0.1,sweep_rbf_riblt_n100000_sim10_t4
sweep_rbf_riblt_n100000_sim10_t5,1,1.411241029,rbf_riblt,5,0.1,sweep_rbf_riblt_n100000_sim10_t5
sweep_rbf_riblt_n100000_sim10_t5,1,1.636817881,rbf_riblt,5,0.1,sweep_rbf_riblt_n100000_sim10_t5
sweep_riblt_n100000_sim20_t1,1,4.281437083,riblt,1,0.2,sweep_riblt_n100000_sim20_t1
sweep_riblt_n100000_sim20_t1,1,4.37533617,riblt,1,0.2,sweep_riblt_n100000_sim20_t1
sweep_riblt_n100000_sim20_t2,1,4.096893203,riblt,2,0.2,sweep_riblt_n100000_sim20_t2
sweep_riblt_n100000_sim20_t2,1,4.105816068,riblt,2,0.2,sweep_riblt_n100000_sim20_t2
sweep_riblt_n100000_sim20_t3,1,4.346068155,riblt,3,0.2,sweep_riblt_n100000_sim20_t3
sweep_riblt_n100000_sim20_t3,1,4.387256272,riblt,3,0.2,sweep_riblt_n100000_sim20_t3
sweep_riblt_n100000_sim20_t4,1,4.011813709,riblt,4,0.2,sweep_riblt_n100000_sim20_t4
sweep_riblt_n100000_sim20_t4,1,4.050884723,riblt,4,0.2,sweep_riblt_n100000_sim20_t4
sweep_riblt_n100000_sim20_t5,1,4.211786315,riblt,5,0.2,sweep_riblt_n100000_sim20_t5
sweep_riblt_n100000_sim20_t5,1,4.224510926,riblt,5,0.2,sweep_riblt_n100000_sim20_t5
sweep_merkle_n100000_sim20_t1,1,1.613869524,merkle,1,0.2,sweep_merkle_n100000_sim20_t1
sweep_merkle_n100000_sim20_t1,1,1.65503913,merkle,1,0.2,sweep_merkle_n100000_sim20_t1
sweep_merkle_n100000_sim20_t2,1,2.063819972,merkle,2,0.2,sweep_merkle_n100000_sim20_t2
sweep_merkle_n100000_sim20_t2,1,2.090749968,merkle,2,0.2,sweep_merkle_n100000_sim20_t2
sweep_merkle_n100000_sim20_t3,1,1.758179626,merkle,3,0.2,sweep_merkle_n100000_sim20_t3
sweep_merkle_n100000_sim20_t3,1,1.84625721,merkle,3,0.2,sweep_merkle_n100000_sim20_t3
sweep_merkle_n100000_sim20_t4,1,1.916450274,merkle,4,0.2,sweep_merkle_n100000_sim20_t4
sweep_merkle_n100000_sim20_t4,1,1.971021529,merkle,4,0.2,sweep_merkle_n100000_sim20_t4
sweep_merkle_n100000_sim20_t5,1,1.845813516,merkle,5,0.2,sweep_merkle_n100000_sim20_t5
sweep_merkle_n100000_sim20_t5,1,1.851808838,merkle,5,0.2,sweep_merkle_n100000_sim20_t5
sweep_rbf_riblt_n100000_sim20_t1,1,1.522339973,rbf_riblt,1,0.2,sweep_rbf_riblt_n100000_sim20_t1
sweep_rbf_riblt_n100000_sim20_t1,1,1.810652621,rbf_riblt,1,0.2,sweep_rbf_riblt_n100000_sim20_t1
sweep_rbf_riblt_n100000_sim20_t2,1,1.577221566,rbf_riblt,2,0.2,sweep_rbf_riblt_n100000_sim20_t2
sweep_rbf_riblt_n100000_sim20_t2,1,1.790732953,rbf_riblt,2,0.2,sweep_rbf_riblt_n100000_sim20_t2
sweep_rbf_riblt_n100000_sim20_t3,1,1.471883635,rbf_riblt,3,0.2,sweep_rbf_riblt_n100000_sim20_t3
sweep_rbf_riblt_n100000_sim20_t3,1,1.738035707,rbf_riblt,3,0.2,sweep_rbf_riblt_n100000_sim20_t3
sweep_rbf_riblt_n100000_sim20_t4,1,1.479196481,rbf_riblt,4,0.2,sweep_rbf_riblt_n100000_sim20_t4
sweep_rbf_riblt_n100000_sim20_t4,1,1.7109425740000002,rbf_riblt,4,0.2,sweep_rbf_riblt_n100000_sim20_t4
sweep_rbf_riblt_n100000_sim20_t5,1,1.458087745,rbf_riblt,5,0.2,sweep_rbf_riblt_n100000_sim20_t5
sweep_rbf_riblt_n100000_sim20_t5,1,1.661306316,rbf_riblt,5,0.2,sweep_rbf_riblt_n100000_sim20_t5
sweep_riblt_n100000_sim30_t1,1,3.653023917,riblt,1,0.3,sweep_riblt_n100000_sim30_t1
sweep_riblt_n100000_sim30_t1,1,3.665529187,riblt,1,0.3,sweep_riblt_n100000_sim30_t1
sweep_riblt_n100000_sim30_t2,1,3.699403082,riblt,2,0.3,sweep_riblt_n100000_sim30_t2
sweep_riblt_n100000_sim30_t2,1,3.688703555,riblt,2,0.3,sweep_riblt_n100000_sim30_t2
sweep_riblt_n100000_sim30_t3,1,3.816342013,riblt,3,0.3,sweep_riblt_n100000_sim30_t3
sweep_riblt_n100000_sim30_t3,1,3.856053353,riblt,3,0.3,sweep_riblt_n100000_sim30_t3
sweep_riblt_n100000_sim30_t4,1,3.689253312,riblt,4,0.3,sweep_riblt_n100000_sim30_t4
sweep_riblt_n100000_sim30_t4,1,3.751378363,riblt,4,0.3,sweep_riblt_n100000_sim30_t4
sweep_riblt_n100000_sim30_t5,1,4.20512414,riblt,5,0.3,sweep_riblt_n100000_sim30_t5
sweep_riblt_n100000_sim30_t5,1,4.295899512,riblt,5,0.3,sweep_riblt_n100000_sim30_t5
sweep_merkle_n100000_sim30_t1,1,1.508185748,merkle,1,0.3,sweep_merkle_n100000_sim30_t1
sweep_merkle_n100000_sim30_t1,1,1.531581496,merkle,1,0.3,sweep_merkle_n100000_sim30_t1
sweep_merkle_n100000_sim30_t2,1,1.483290418,merkle,2,0.3,sweep_merkle_n100000_sim30_t2
sweep_merkle_n100000_sim30_t2,1,1.456618491,merkle,2,0.3,sweep_merkle_n100000_sim30_t2
sweep_merkle_n100000_sim30_t3,1,1.572015724,merkle,3,0.3,sweep_merkle_n100000_sim30_t3
sweep_merkle_n100000_sim30_t3,1,1.628573255,merkle,3,0.3,sweep_merkle_n100000_sim30_t3
sweep_merkle_n100000_sim30_t4,1,1.73526256,merkle,4,0.3,sweep_merkle_n100000_sim30_t4
sweep_merkle_n100000_sim30_t4,1,1.781049254,merkle,4,0.3,sweep_merkle_n100000_sim30_t4
sweep_merkle_n100000_sim30_t5,1,1.678505755,merkle,5,0.3,sweep_merkle_n100000_sim30_t5
sweep_merkle_n100000_sim30_t5,1,1.727803227,merkle,5,0.3,sweep_merkle_n100000_sim30_t5
sweep_rbf_riblt_n100000_sim30_t1,1,1.789073627,rbf_riblt,1,0.3,sweep_rbf_riblt_n100000_sim30_t1
sweep_rbf_riblt_n100000_sim30_t1,1,1.952723966,rbf_riblt,1,0.3,sweep_rbf_riblt_n100000_sim30_t1
sweep_rbf_riblt_n100000_sim30_t2,1,1.752020276,rbf_riblt,2,0.3,sweep_rbf_riblt_n100000_sim30_t2
sweep_rbf_riblt_n100000_sim30_t2,1,1.976461719,rbf_riblt,2,0.3,sweep_rbf_riblt_n100000_sim30_t2
sweep_rbf_riblt_n100000_sim30_t3,1,1.739740081,rbf_riblt,3,0.3,sweep_rbf_riblt_n100000_sim30_t3
sweep_rbf_riblt_n100000_sim30_t3,1,1.967578257,rbf_riblt,3,0.3,sweep_rbf_riblt_n100000_sim30_t3
sweep_rbf_riblt_n100000_sim30_t4,1,1.745096392,rbf_riblt,4,0.3,sweep_rbf_riblt_n100000_sim30_t4
sweep_rbf_riblt_n100000_sim30_t4,1,2.076576395,rbf_riblt,4,0.3,sweep_rbf_riblt_n100000_sim30_t4
sweep_rbf_riblt_n100000_sim30_t5,1,1.742161994,rbf_riblt,5,0.3,sweep_rbf_riblt_n100000_sim30_t5
sweep_rbf_riblt_n100000_sim30_t5,1,1.966236582,rbf_riblt,5,0.3,sweep_rbf_riblt_n100000_sim30_t5
sweep_riblt_n100000_sim40_t1,1,3.962863501,riblt,1,0.4,sweep_riblt_n100000_sim40_t1
sweep_riblt_n100000_sim40_t1,1,3.976611532,riblt,1,0.4,sweep_riblt_n100000_sim40_t1
sweep_riblt_n100000_sim40_t2,1,3.744631041,riblt,2,0.4,sweep_riblt_n100000_sim40_t2
sweep_riblt_n100000_sim40_t2,1,3.824570932,riblt,2,0.4,sweep_riblt_n100000_sim40_t2
sweep_riblt_n100000_sim40_t3,1,3.297708841,riblt,3,0.4,sweep_riblt_n100000_sim40_t3
sweep_riblt_n100000_sim40_t3,1,3.327109404,riblt,3,0.4,sweep_riblt_n100000_sim40_t3
sweep_riblt_n100000_sim40_t4,1,3.438261364,riblt,4,0.4,sweep_riblt_n100000_sim40_t4
sweep_riblt_n100000_sim40_t4,1,3.497755037,riblt,4,0.4,sweep_riblt_n100000_sim40_t4
sweep_riblt_n100000_sim40_t5,1,3.618825785,riblt,5,0.4,sweep_riblt_n100000_sim40_t5
sweep_riblt_n100000_sim40_t5,1,3.718079292,riblt,5,0.4,sweep_riblt_n100000_sim40_t5
sweep_merkle_n100000_sim40_t1,1,1.217338164,merkle,1,0.4,sweep_merkle_n100000_sim40_t1
sweep_merkle_n100000_sim40_t1,1,1.240131751,merkle,1,0.4,sweep_merkle_n100000_sim40_t1
sweep_merkle_n100000_sim40_t2,1,1.293362655,merkle,2,0.4,sweep_merkle_n100000_sim40_t2
sweep_merkle_n100000_sim40_t2,1,1.350059193,merkle,2,0.4,sweep_merkle_n100000_sim40_t2
sweep_merkle_n100000_sim40_t3,1,1.251130888,merkle,3,0.4,sweep_merkle_n100000_sim40_t3
sweep_merkle_n100000_sim40_t3,1,1.278147775,merkle,3,0.4,sweep_merkle_n100000_sim40_t3
sweep_merkle_n100000_sim40_t4,1,1.242790198,merkle,4,0.4,sweep_merkle_n100000_sim40_t4
sweep_merkle_n100000_sim40_t4,1,1.258274763,merkle,4,0.4,sweep_merkle_n100000_sim40_t4
sweep_merkle_n100000_sim40_t5,1,1.206764378,merkle,5,0.4,sweep_merkle_n100000_sim40_t5
sweep_merkle_n100000_sim40_t5,1,1.261310578,merkle,5,0.4,sweep_merkle_n100000_sim40_t5
sweep_rbf_riblt_n100000_sim40_t1,1,1.777940479,rbf_riblt,1,0.4,sweep_rbf_riblt_n100000_sim40_t1
sweep_rbf_riblt_n100000_sim40_t1,1,2.053114179,rbf_riblt,1,0.4,sweep_rbf_riblt_n100000_sim40_t1
sweep_rbf_riblt_n100000_sim40_t2,1,1.83380665,rbf_riblt,2,0.4,sweep_rbf_riblt_n100000_sim40_t2
sweep_rbf_riblt_n100000_sim40_t2,1,2.011160464,rbf_riblt,2,0.4,sweep_rbf_riblt_n100000_sim40_t2
sweep_rbf_riblt_n100000_sim40_t3,1,1.84813259,rbf_riblt,3,0.4,sweep_rbf_riblt_n100000_sim40_t3
sweep_rbf_riblt_n100000_sim40_t3,1,2.042788663,rbf_riblt,3,0.4,sweep_rbf_riblt_n100000_sim40_t3
sweep_rbf_riblt_n100000_sim40_t4,1,1.814294837,rbf_riblt,4,0.4,sweep_rbf_riblt_n100000_sim40_t4
sweep_rbf_riblt_n100000_sim40_t4,1,1.969084077,rbf_riblt,4,0.4,sweep_rbf_riblt_n100000_sim40_t4
sweep_rbf_riblt_n100000_sim40_t5,1,2.031297773,rbf_riblt,5,0.4,sweep_rbf_riblt_n100000_sim40_t5
sweep_rbf_riblt_n100000_sim40_t5,1,1.950714828,rbf_riblt,5,0.4,sweep_rbf_riblt_n100000_sim40_t5
sweep_riblt_n100000_sim50_t1,1,2.884937712,riblt,1,0.5,sweep_riblt_n100000_sim50_t1
sweep_riblt_n100000_sim50_t1,1,2.940908401,riblt,1,0.5,sweep_riblt_n100000_sim50_t1
sweep_riblt_n100000_sim50_t2,1,2.861482088,riblt,2,0.5,sweep_riblt_n100000_sim50_t2
sweep_riblt_n100000_sim50_t2,1,2.876612771,riblt,2,0.5,sweep_riblt_n100000_sim50_t2
sweep_riblt_n100000_sim50_t3,1,2.911831949,riblt,3,0.5,sweep_riblt_n100000_sim50_t3
sweep_riblt_n100000_sim50_t3,1,3.007307214,riblt,3,0.5,sweep_riblt_n100000_sim50_t3
sweep_riblt_n100000_sim50_t4,1,2.845396939,riblt,4,0.5,sweep_riblt_n100000_sim50_t4
sweep_riblt_n100000_sim50_t4,1,2.936693325,riblt,4,0.5,sweep_riblt_n100000_sim50_t4
sweep_riblt_n100000_sim50_t5,1,2.923079165,riblt,5,0.5,sweep_riblt_n100000_sim50_t5
sweep_riblt_n100000_sim50_t5,1,3.031957109,riblt,5,0.5,sweep_riblt_n100000_sim50_t5
sweep_merkle_n100000_sim50_t1,1,1.07723306,merkle,1,0.5,sweep_merkle_n100000_sim50_t1
sweep_merkle_n100000_sim50_t1,1,1.10597175,merkle,1,0.5,sweep_merkle_n100000_sim50_t1
sweep_merkle_n100000_sim50_t2,1,1.111219218,merkle,2,0.5,sweep_merkle_n100000_sim50_t2
