run_dir,iteration,timestamp,round_trips,protocol,trial,similarity,run_id,similarity_numeric
sweep_riblt_n100000_sim60_t3,1,4557,2771,riblt,3,0.6,sweep_riblt_n100000_sim60_t3,0.6
sweep_riblt_n100000_sim60_t3,1,4593,2752,riblt,3,0.6,sweep_riblt_n100000_sim60_t3,0.6
sweep_riblt_n100000_sim60_t4,1,4604,2650,riblt,4,0.6,sweep_riblt_n100000_sim60_t4,0.6
sweep_riblt_n100000_sim60_t4,1,4684,2750,riblt,4,0.6,sweep_riblt_n100000_sim60_t4,0.6
sweep_riblt_n100000_sim60_t5,1,4735,2644,riblt,5,0.6,sweep_riblt_n100000_sim60_t5,0.6
sweep_riblt_n100000_sim60_t5,1,4740,2646,riblt,5,0.6,sweep_riblt_n100000_sim60_t5,0.6
sweep_merkle_n100000_sim60_t1,1,2778,101,merkle,1,0.6,sweep_merkle_n100000_sim60_t1,0.6
sweep_merkle_n100000_sim60_t1,1,2822,101,merkle,1,0.6,sweep_merkle_n100000_sim60_t1,0.6
sweep_merkle_n100000_sim60_t2,1,2734,101,merkle,2,0.6,sweep_merkle_n100000_sim60_t2,0.6
sweep_merkle_n100000_sim60_t2,1,2757,101,merkle,2,0.6,sweep_merkle_n100000_sim60_t2,0.6
sweep_merkle_n100000_sim60_t3,1,2766,101,merkle,3,0.6,sweep_merkle_n100000_sim60_t3,0.6
sweep_merkle_n100000_sim60_t3,1,2853,101,merkle,3,0.6,sweep_merkle_n100000_sim60_t3,0.6
sweep_merkle_n100000_sim60_t4,1,2756,101,merkle,4,0.6,sweep_merkle_n100000_sim60_t4,0.6
sweep_merkle_n100000_sim60_t4,1,2767,101,merkle,4,0.6,sweep_merkle_n100000_sim60_t4,0.6
sweep_merkle_n100000_sim60_t5,1,2714,101,merkle,5,0.6,sweep_merkle_n100000_sim60_t5,0.6
sweep_merkle_n100000_sim60_t5,1,2741,101,merkle,5,0.6,sweep_merkle_n100000_sim60_t5,0.6
sweep_rbf_riblt_n100000_sim60_t1,1,3892,379,rbf_riblt,1,0.6,sweep_rbf_riblt_n100000_sim60_t1,0.6
sweep_rbf_riblt_n100000_sim60_t1,1,3970,59,rbf_riblt,1,0.6,sweep_rbf_riblt_n100000_sim60_t1,0.6
sweep_rbf_riblt_n100000_sim60_t2,1,4037,178,rbf_riblt,2,0.6,sweep_rbf_riblt_n100000_sim60_t2,0.6
sweep_rbf_riblt_n100000_sim60_t2,1,4050,387,rbf_riblt,2,0.6,sweep_rbf_riblt_n100000_sim60_t2,0.6
sweep_rbf_riblt_n100000_sim60_t3,1,4182,409,rbf_riblt,3,0.6,sweep_rbf_riblt_n100000_sim60_t3,0.6
sweep_rbf_riblt_n100000_sim60_t3,1,4276,91,rbf_riblt,3,0.6,sweep_rbf_riblt_n100000_sim60_t3,0.6
sweep_rbf_riblt_n100000_sim60_t4,1,3960,356,rbf_riblt,4,0.6,sweep_rbf_riblt_n100000_sim60_t4,0.6
sweep_rbf_riblt_n100000_sim60_t4,1,3974,43,rbf_riblt,4,0.6,sweep_rbf_riblt_n100000_sim60_t4,0.6
sweep_rbf_riblt_n100000_sim60_t5,1,4010,347,rbf_riblt,5,0.6,sweep_rbf_riblt_n100000_sim60_t5,0.6
sweep_rbf_riblt_n100000_sim60_t5,1,4179,48,rbf_riblt,5,0.6,sweep_rbf_riblt_n100000_sim60_t5,0.6
sweep_riblt_n100000_sim70_t1,1,4440,2084,riblt,1,0.7,sweep_riblt_n100000_sim70_t1,0.7
