run_id,protocol,trial,similarity,iteration,rss_memory_bytes,similarity_numeric,rss_memory_mb
sweep_rbf_riblt_n100000_sim10_t4,rbf_riblt,4,0.1,1,364933120,0.1,348.02734375
sweep_rbf_riblt_n100000_sim10_t5,rbf_riblt,5,0.1,1,393949184,0.1,375.69921875
sweep_rbf_riblt_n100000_sim20_t1,rbf_riblt,1,0.2,1,334422016,0.2,318.9296875
sweep_rbf_riblt_n100000_sim20_t2,rbf_riblt,2,0.2,1,330977280,0.2,315.64453125
sweep_rbf_riblt_n100000_sim20_t3,rbf_riblt,3,0.2,1,311554048,0.2,297.12109375
sweep_rbf_riblt_n100000_sim20_t4,rbf_riblt,4,0.2,1,309780480,0.2,295.4296875
sweep_rbf_riblt_n100000_sim20_t5,rbf_riblt,5,0.2,1,329920512,0.2,314.63671875
sweep_rbf_riblt_n100000_sim30_t1,rbf_riblt,1,0.3,1,257781760,0.3,245.83984375
sweep_rbf_riblt_n100000_sim30_t2,rbf_riblt,2,0.3,1,271278080,0.3,258.7109375
sweep_rbf_riblt_n100000_sim30_t3,rbf_riblt,3,0.3,1,236797952,0.3,225.828125
sweep_rbf_riblt_n100000_sim30_t4,rbf_riblt,4,0.3,1,248639488,0.3,237.12109375
sweep_rbf_riblt_n100000_sim30_t5,rbf_riblt,5,0.3,1,284037120,0.3,270.87890625
sweep_rbf_riblt_n100000_sim40_t1,rbf_riblt,1,0.4,1,232845312,0.4,222.05859375
sweep_rbf_riblt_n100000_sim40_t2,rbf_riblt,2,0.4,1,254795776,0.4,242.9921875
sweep_rbf_riblt_n100000_sim40_t3,rbf_riblt,3,0.4,1,236486656,0.4,225.53125
sweep_rbf_riblt_n100000_sim40_t4,rbf_riblt,4,0.4,1,248156160,0.4,236.66015625
sweep_rbf_riblt_n100000_sim40_t5,rbf_riblt,5,0.4,1,271552512,0.4,258.97265625
sweep_rbf_riblt_n100000_sim50_t1,rbf_riblt,1,0.5,1,241594368,0.5,230.40234375
sweep_rbf_riblt_n100000_sim50_t2,rbf_riblt,2,0.5,1,235466752,0.5,224.55859375
sweep_rbf_riblt_n100000_sim50_t3,rbf_riblt,3,0.5,1,271384576,0.5,258.8125
sweep_rbf_riblt_n100000_sim50_t4,rbf_riblt,4,0.5,1,219066368,0.5,208.91796875
sweep_rbf_riblt_n100000_sim50_t5,rbf_riblt,5,0.5,1,230830080,0.5,220.13671875
sweep_rbf_riblt_n100000_sim60_t1,rbf_riblt,1,0.6,1,220651520,0.6,210.4296875
sweep_rbf_riblt_n100000_sim60_t2,rbf_riblt,2,0.6,1,192782336,0.6,183.8515625
sweep_rbf_riblt_n100000_sim60_t3,rbf_riblt,3,0.6,1,231747584,0.6,221.01171875
sweep_rbf_riblt_n100000_sim60_t4,rbf_riblt,4,0.6,1,220192768,0.6,209.9921875
sweep_rbf_riblt_n100000_sim60_t5,rbf_riblt,5,0.6,1,199270400,0.6,190.0390625
