run_dir,iteration,round_duration_seconds,protocol,trial,similarity,run_id
sweep_riblt_n100000_sim95_t16,1,1.271326799,riblt,16,0.95,sweep_riblt_n100000_sim95_t16
sweep_riblt_n100000_sim95_t16,1,1.301949041,riblt,16,0.95,sweep_riblt_n100000_sim95_t16
sweep_riblt_n100000_sim95_t17,1,1.272507114,riblt,17,0.95,sweep_riblt_n100000_sim95_t17
sweep_riblt_n100000_sim95_t17,1,1.30885934,riblt,17,0.95,sweep_riblt_n100000_sim95_t17
sweep_riblt_n100000_sim95_t18,1,1.239894675,riblt,18,0.95,sweep_riblt_n100000_sim95_t18
sweep_riblt_n100000_sim95_t18,1,1.328333101,riblt,18,0.95,sweep_riblt_n100000_sim95_t18
sweep_riblt_n100000_sim95_t19,1,1.269156964,riblt,19,0.95,sweep_riblt_n100000_sim95_t19
sweep_riblt_n100000_sim95_t19,1,1.321366924,riblt,19,0.95,sweep_riblt_n100000_sim95_t19
sweep_riblt_n100000_sim95_t20,1,1.258215005,riblt,20,0.95,sweep_riblt_n100000_sim95_t20
sweep_riblt_n100000_sim95_t20,1,1.448593285,riblt,20,0.95,sweep_riblt_n100000_sim95_t20
sweep_riblt_n100000_sim95_t21,1,1.286403347,riblt,21,0.95,sweep_riblt_n100000_sim95_t21
sweep_riblt_n100000_sim95_t21,1,1.305306018,riblt,21,0.95,sweep_riblt_n100000_sim95_t21
sweep_riblt_n100000_sim95_t22,1,1.245749876,riblt,22,0.95,sweep_riblt_n100000_sim95_t22
sweep_riblt_n100000_sim95_t22,1,1.263057723,riblt,22,0.95,sweep_riblt_n100000_sim95_t22
sweep_riblt_n100000_sim95_t23,1,1.262480482,riblt,23,0.95,sweep_riblt_n100000_sim95_t23
sweep_riblt_n100000_sim95_t23,1,1.362742331,riblt,23,0.95,sweep_riblt_n100000_sim95_t23
sweep_riblt_n100000_sim95_t24,1,1.251714244,riblt,24,0.95,sweep_riblt_n100000_sim95_t24
sweep_riblt_n100000_sim95_t24,1,1.299183727,riblt,24,0.95,sweep_riblt_n100000_sim95_t24
sweep_riblt_n100000_sim95_t25,1,1.262488719,riblt,25,0.95,sweep_riblt_n100000_sim95_t25
sweep_riblt_n100000_sim95_t25,1,1.375796911,riblt,25,0.95,sweep_riblt_n100000_sim95_t25
sweep_riblt_n100000_sim95_t26,1,1.310049344,riblt,26,0.95,sweep_riblt_n100000_sim95_t26
sweep_riblt_n100000_sim95_t26,1,1.443556459,riblt,26,0.95,sweep_riblt_n100000_sim95_t26
sweep_riblt_n100000_sim95_t27,1,1.279400142,riblt,27,0.95,sweep_riblt_n100000_sim95_t27
sweep_riblt_n100000_sim95_t27,1,1.382846052,riblt,27,0.95,sweep_riblt_n100000_sim95_t27
sweep_riblt_n100000_sim95_t28,1,1.305275481,riblt,28,0.95,sweep_riblt_n100000_sim95_t28
sweep_riblt_n100000_sim95_t28,1,1.435963315,riblt,28,0.95,sweep_riblt_n100000_sim95_t28
sweep_riblt_n100000_sim95_t29,1,1.24228392,riblt,29,0.95,sweep_riblt_n100000_sim95_t29
sweep_riblt_n100000_sim95_t29,1,1.31508936,riblt,29,0.95,sweep_riblt_n100000_sim95_t29
sweep_riblt_n100000_sim95_t30,1,1.294355799,riblt,30,0.95,sweep_riblt_n100000_sim95_t30
sweep_riblt_n100000_sim95_t30,1,1.372875789,riblt,30,0.95,sweep_riblt_n100000_sim95_t30
sweep_merkle_n100000_sim95_t1,1,1.038455823,merkle,1,0.95,sweep_merkle_n100000_sim95_t1
sweep_merkle_n100000_sim95_t1,1,1.233540561,merkle,1,0.95,sweep_merkle_n100000_sim95_t1
sweep_merkle_n100000_sim95_t2,1,1.04925663,merkle,2,0.95,sweep_merkle_n100000_sim95_t2
sweep_merkle_n100000_sim95_t2,1,1.29272172,merkle,2,0.95,sweep_merkle_n100000_sim95_t2
sweep_merkle_n100000_sim95_t3,1,1.069377539,merkle,3,0.95,sweep_merkle_n100000_sim95_t3
sweep_merkle_n100000_sim95_t3,1,1.252211774,merkle,3,0.95,sweep_merkle_n100000_sim95_t3
sweep_merkle_n100000_sim95_t4,1,1.111447316,merkle,4,0.95,sweep_merkle_n100000_sim95_t4
sweep_merkle_n100000_sim95_t4,1,1.285407592,merkle,4,0.95,sweep_merkle_n100000_sim95_t4
sweep_merkle_n100000_sim95_t5,1,1.055751301,merkle,5,0.95,sweep_merkle_n100000_sim95_t5
sweep_merkle_n100000_sim95_t5,1,1.314610167,merkle,5,0.95,sweep_merkle_n100000_sim95_t5
sweep_merkle_n100000_sim95_t6,1,1.049077759,merkle,6,0.95,sweep_merkle_n100000_sim95_t6
sweep_merkle_n100000_sim95_t6,1,1.256744953,merkle,6,0.95,sweep_merkle_n100000_sim95_t6
sweep_merkle_n100000_sim95_t7,1,1.093664334,merkle,7,0.95,sweep_merkle_n100000_sim95_t7
sweep_merkle_n100000_sim95_t7,1,1.262321076,merkle,7,0.95,sweep_merkle_n100000_sim95_t7
sweep_merkle_n100000_sim95_t8,1,1.071248997,merkle,8,0.95,sweep_merkle_n100000_sim95_t8
sweep_merkle_n100000_sim95_t8,1,1.293188107,merkle,8,0.95,sweep_merkle_n100000_sim95_t8
sweep_merkle_n100000_sim95_t9,1,1.067046648,merkle,9,0.95,sweep_merkle_n100000_sim95_t9
sweep_merkle_n100000_sim95_t9,1,1.309292796,merkle,9,0.95,sweep_merkle_n100000_sim95_t9
sweep_merkle_n100000_sim95_t10,1,1.051941104,merkle,10,0.95,sweep_merkle_n100000_sim95_t10
sweep_merkle_n100000_sim95_t10,1,1.268690032,merkle,10,0.95,sweep_merkle_n100000_sim95_t10
sweep_merkle_n100000_sim95_t11,1,1.048340438,merkle,11,0.95,sweep_merkle_n100000_sim95_t11
sweep_merkle_n100000_sim95_t11,1,1.230879451,merkle,11,0.95,sweep_merkle_n100000_sim95_t11
sweep_merkle_n100000_sim95_t12,1,1.075800125,merkle,12,0.95,sweep_merkle_n100000_sim95_t12
sweep_merkle_n100000_sim95_t12,1,1.289260857,merkle,12,0.95,sweep_merkle_n100000_sim95_t12
sweep_merkle_n100000_sim95_t13,1,1.064726516,merkle,13,0.95,sweep_merkle_n100000_sim95_t13
sweep_merkle_n100000_sim95_t13,1,1.317750423,merkle,13,0.95,sweep_merkle_n100000_sim95_t13
sweep_merkle_n100000_sim95_t14,1,1.070956422,merkle,14,0.95,sweep_merkle_n100000_sim95_t14
sweep_merkle_n100000_sim95_t14,1,1.284400671,merkle,14,0.95,sweep_merkle_n100000_sim95_t14
sweep_merkle_n100000_sim95_t15,1,1.068292257,merkle,15,0.95,sweep_merkle_n100000_sim95_t15
sweep_merkle_n100000_sim95_t15,1,1.29264857,merkle,15,0.95,sweep_merkle_n100000_sim95_t15
sweep_merkle_n100000_sim95_t16,1,1.029029258,merkle,16,0.95,sweep_merkle_n100000_sim95_t16
sweep_merkle_n100000_sim95_t16,1,1.214079342,merkle,16,0.95,sweep_merkle_n100000_sim95_t16
sweep_merkle_n100000_sim95_t17,1,1.083402336,merkle,17,0.95,sweep_merkle_n100000_sim95_t17
sweep_merkle_n100000_sim95_t17,1,1.266051906,merkle,17,0.95,sweep_merkle_n100000_sim95_t17
sweep_merkle_n100000_sim95_t18,1,1.051466311,merkle,18,0.95,sweep_merkle_n100000_sim95_t18
sweep_merkle_n100000_sim95_t18,1,1.249864312,merkle,18,0.95,sweep_merkle_n100000_sim95_t18
sweep_merkle_n100000_sim95_t19,1,1.092636322,merkle,19,0.95,sweep_merkle_n100000_sim95_t19
sweep_merkle_n100000_sim95_t19,1,1.330184386,merkle,19,0.95,sweep_merkle_n100000_sim95_t19
sweep_merkle_n100000_sim95_t20,1,1.030624775,merkle,20,0.95,sweep_merkle_n100000_sim95_t20
sweep_merkle_n100000_sim95_t20,1,1.230535537,merkle,20,0.95,sweep_merkle_n100000_sim95_t20
sweep_merkle_n100000_sim95_t21,1,1.101510137,merkle,21,0.95,sweep_merkle_n100000_sim95_t21
sweep_merkle_n100000_sim95_t21,1,1.298536105,merkle,21,0.95,sweep_merkle_n100000_sim95_t21
sweep_merkle_n100000_sim95_t22,1,1.073766892,merkle,22,0.95,sweep_merkle_n100000_sim95_t22
sweep_merkle_n100000_sim95_t22,1,1.255349077,merkle,22,0.95,sweep_merkle_n100000_sim95_t22
sweep_merkle_n100000_sim95_t23,1,1.061709779,merkle,23,0.95,sweep_merkle_n100000_sim95_t23
sweep_merkle_n100000_sim95_t23,1,1.270753329,merkle,23,0.95,sweep_merkle_n100000_sim95_t23
sweep_merkle_n100000_sim95_t24,1,1.035356444,merkle,24,0.95,sweep_merkle_n100000_sim95_t24
sweep_merkle_n100000_sim95_t24,1,1.274205579,merkle,24,0.95,sweep_merkle_n100000_sim95_t24
sweep_merkle_n100000_sim95_t25,1,1.028483367,merkle,25,0.95,sweep_merkle_n100000_sim95_t25
sweep_merkle_n100000_sim95_t25,1,1.20906312,merkle,25,0.95,sweep_merkle_n100000_sim95_t25
sweep_merkle_n100000_sim95_t26,1,1.035846307,merkle,26,0.95,sweep_merkle_n100000_sim95_t26
sweep_merkle_n100000_sim95_t26,1,1.28075382,merkle,26,0.95,sweep_merkle_n100000_sim95_t26
sweep_merkle_n100000_sim95_t27,1,1.110291896,merkle,27,0.95,sweep_merkle_n100000_sim95_t27
sweep_merkle_n100000_sim95_t27,1,1.360941963,merkle,27,0.95,sweep_merkle_n100000_sim95_t27
sweep_merkle_n100000_sim95_t28,1,1.024020438,merkle,28,0.95,sweep_merkle_n100000_sim95_t28
sweep_merkle_n100000_sim95_t28,1,1.238746059,merkle,28,0.95,sweep_merkle_n100000_sim95_t28
sweep_merkle_n100000_sim95_t29,1,1.061086228,merkle,29,0.95,sweep_merkle_n100000_sim95_t29
sweep_merkle_n100000_sim95_t29,1,1.288848484,merkle,29,0.95,sweep_merkle_n100000_sim95_t29
sweep_merkle_n100000_sim95_t30,1,1.08817841,merkle,30,0.95,sweep_merkle_n100000_sim95_t30
sweep_merkle_n100000_sim95_t30,1,1.355520253,merkle,30,0.95,sweep_merkle_n100000_sim95_t30
sweep_rbf_riblt_n100000_sim95_t1,1,1.656752343,rbf_riblt,1,0.95,sweep_rbf_riblt_n100000_sim95_t1
sweep_rbf_riblt_n100000_sim95_t1,1,1.879450481,rbf_riblt,1,0.95,sweep_rbf_riblt_n100000_sim95_t1
sweep_rbf_riblt_n100000_sim95_t2,1,1.645242855,rbf_riblt,2,0.95,sweep_rbf_riblt_n100000_sim95_t2
sweep_rbf_riblt_n100000_sim95_t2,1,1.804056306,rbf_riblt,2,0.95,sweep_rbf_riblt_n100000_sim95_t2
sweep_rbf_riblt_n100000_sim95_t3,1,1.7504128570000002,rbf_riblt,3,0.95,sweep_rbf_riblt_n100000_sim95_t3
sweep_rbf_riblt_n100000_sim95_t3,1,1.9722113,rbf_riblt,3,0.95,sweep_rbf_riblt_n100000_sim95_t3
