run_dir,iteration,bloom_slices,protocol,trial,similarity,run_id
sweep_rbf_riblt_n100000_sim10_t8,1,7,rbf_riblt,8,0.1,sweep_rbf_riblt_n100000_sim10_t8
sweep_rbf_riblt_n100000_sim10_t9,1,5,rbf_riblt,9,0.1,sweep_rbf_riblt_n100000_sim10_t9
sweep_rbf_riblt_n100000_sim10_t9,1,7,rbf_riblt,9,0.1,sweep_rbf_riblt_n100000_sim10_t9
sweep_rbf_riblt_n100000_sim10_t10,1,5,rbf_riblt,10,0.1,sweep_rbf_riblt_n100000_sim10_t10
sweep_rbf_riblt_n100000_sim10_t10,1,7,rbf_riblt,10,0.1,sweep_rbf_riblt_n100000_sim10_t10
sweep_rbf_riblt_n100000_sim10_t11,1,5,rbf_riblt,11,0.1,sweep_rbf_riblt_n100000_sim10_t11
sweep_rbf_riblt_n100000_sim10_t11,1,7,rbf_riblt,11,0.1,sweep_rbf_riblt_n100000_sim10_t11
sweep_rbf_riblt_n100000_sim10_t12,1,5,rbf_riblt,12,0.1,sweep_rbf_riblt_n100000_sim10_t12
sweep_rbf_riblt_n100000_sim10_t12,1,7,rbf_riblt,12,0.1,sweep_rbf_riblt_n100000_sim10_t12
sweep_rbf_riblt_n100000_sim10_t13,1,5,rbf_riblt,13,0.1,sweep_rbf_riblt_n100000_sim10_t13
sweep_rbf_riblt_n100000_sim10_t13,1,7,rbf_riblt,13,0.1,sweep_rbf_riblt_n100000_sim10_t13
sweep_rbf_riblt_n100000_sim10_t14,1,5,rbf_riblt,14,0.1,sweep_rbf_riblt_n100000_sim10_t14
sweep_rbf_riblt_n100000_sim10_t14,1,7,rbf_riblt,14,0.1,sweep_rbf_riblt_n100000_sim10_t14
sweep_rbf_riblt_n100000_sim10_t15,1,5,rbf_riblt,15,0.1,sweep_rbf_riblt_n100000_sim10_t15
sweep_rbf_riblt_n100000_sim10_t15,1,7,rbf_riblt,15,0.1,sweep_rbf_riblt_n100000_sim10_t15
sweep_rbf_riblt_n100000_sim10_t16,1,5,rbf_riblt,16,0.1,sweep_rbf_riblt_n100000_sim10_t16
sweep_rbf_riblt_n100000_sim10_t16,1,7,rbf_riblt,16,0.1,sweep_rbf_riblt_n100000_sim10_t16
sweep_rbf_riblt_n100000_sim10_t17,1,5,rbf_riblt,17,0.1,sweep_rbf_riblt_n100000_sim10_t17
sweep_rbf_riblt_n100000_sim10_t17,1,7,rbf_riblt,17,0.1,sweep_rbf_riblt_n100000_sim10_t17
sweep_rbf_riblt_n100000_sim10_t18,1,5,rbf_riblt,18,0.1,sweep_rbf_riblt_n100000_sim10_t18
sweep_rbf_riblt_n100000_sim10_t18,1,7,rbf_riblt,18,0.1,sweep_rbf_riblt_n100000_sim10_t18
sweep_rbf_riblt_n100000_sim10_t19,1,5,rbf_riblt,19,0.1,sweep_rbf_riblt_n100000_sim10_t19
sweep_rbf_riblt_n100000_sim10_t19,1,7,rbf_riblt,19,0.1,sweep_rbf_riblt_n100000_sim10_t19
sweep_rbf_riblt_n100000_sim10_t20,1,5,rbf_riblt,20,0.1,sweep_rbf_riblt_n100000_sim10_t20
sweep_rbf_riblt_n100000_sim10_t20,1,7,rbf_riblt,20,0.1,sweep_rbf_riblt_n100000_sim10_t20
sweep_rbf_riblt_n100000_sim10_t21,1,5,rbf_riblt,21,0.1,sweep_rbf_riblt_n100000_sim10_t21
sweep_rbf_riblt_n100000_sim10_t21,1,7,rbf_riblt,21,0.1,sweep_rbf_riblt_n100000_sim10_t21
sweep_rbf_riblt_n100000_sim10_t22,1,5,rbf_riblt,22,0.1,sweep_rbf_riblt_n100000_sim10_t22
sweep_rbf_riblt_n100000_sim10_t22,1,7,rbf_riblt,22,0.1,sweep_rbf_riblt_n100000_sim10_t22
sweep_rbf_riblt_n100000_sim10_t23,1,5,rbf_riblt,23,0.1,sweep_rbf_riblt_n100000_sim10_t23
sweep_rbf_riblt_n100000_sim10_t23,1,7,rbf_riblt,23,0.1,sweep_rbf_riblt_n100000_sim10_t23
sweep_rbf_riblt_n100000_sim10_t24,1,5,rbf_riblt,24,0.1,sweep_rbf_riblt_n100000_sim10_t24
