source,protocol,trial,similarity,size,difference,round_duration_seconds
baseline,riblt,4,0.3,100000,107694,3.250481524
baseline,riblt,4,0.3,100000,107694,3.252865684
baseline,riblt,5,0.3,100000,107694,3.405231802
baseline,riblt,5,0.3,100000,107694,3.506236523
baseline,riblt,6,0.3,100000,107694,3.275037856
baseline,riblt,6,0.3,100000,107694,3.344190084
baseline,riblt,7,0.3,100000,107694,3.237141148
baseline,riblt,7,0.3,100000,107694,3.242816073
baseline,riblt,8,0.3,100000,107694,3.350976232
baseline,riblt,8,0.3,100000,107694,3.385482819
baseline,riblt,9,0.3,100000,107694,3.210680085
baseline,riblt,9,0.3,100000,107694,3.341973764
baseline,riblt,10,0.3,100000,107694,3.317113495
baseline,riblt,10,0.3,100000,107694,3.346337453
baseline,riblt,11,0.3,100000,107694,3.14823642
baseline,riblt,11,0.3,100000,107694,3.14734993
baseline,riblt,12,0.3,100000,107694,3.092998708
baseline,riblt,12,0.3,100000,107694,3.07286755
baseline,riblt,13,0.3,100000,107694,3.185425381
baseline,riblt,13,0.3,100000,107694,3.212752529
baseline,riblt,14,0.3,100000,107694,3.265125221
baseline,riblt,14,0.3,100000,107694,3.35071136
baseline,riblt,15,0.3,100000,107694,3.328587393
baseline,riblt,15,0.3,100000,107694,3.366930339
baseline,riblt,16,0.3,100000,107694,3.291911163
baseline,riblt,16,0.3,100000,107694,3.264137804
baseline,riblt,17,0.3,100000,107694,3.317015445
baseline,riblt,17,0.3,100000,107694,3.348917379
baseline,riblt,18,0.3,100000,107694,3.210877324
baseline,riblt,18,0.3,100000,107694,3.248902213
baseline,riblt,19,0.3,100000,107694,3.267974824
baseline,riblt,19,0.3,100000,107694,3.28443158
baseline,riblt,20,0.3,100000,107694,3.159366854
baseline,riblt,20,0.3,100000,107694,3.193359407
baseline,riblt,21,0.3,100000,107694,3.183216726
baseline,riblt,21,0.3,100000,107694,3.256839668
baseline,riblt,22,0.3,100000,107694,3.217594696
baseline,riblt,22,0.3,100000,107694,3.234621492
baseline,riblt,23,0.3,100000,107694,3.231384193
baseline,riblt,23,0.3,100000,107694,3.29692193
baseline,riblt,24,0.3,100000,107694,3.214097975
baseline,riblt,24,0.3,100000,107694,3.324101675
baseline,riblt,25,0.3,100000,107694,3.265369204
baseline,riblt,25,0.3,100000,107694,3.322271391
baseline,riblt,26,0.3,100000,107694,3.201793197
baseline,riblt,26,0.3,100000,107694,3.203150765
baseline,riblt,27,0.3,100000,107694,3.466438124
baseline,riblt,27,0.3,100000,107694,3.564805767
baseline,riblt,28,0.3,100000,107694,3.308257223
baseline,riblt,28,0.3,100000,107694,3.397883368
baseline,riblt,29,0.3,100000,107694,3.402378505
baseline,riblt,29,0.3,100000,107694,3.428934813
baseline,riblt,30,0.3,100000,107694,3.207748895
baseline,riblt,30,0.3,100000,107694,3.240601571
baseline,riblt,1,0.4,100000,85716,2.830656331
baseline,riblt,1,0.4,100000,85716,2.866520755
baseline,riblt,2,0.4,100000,85716,2.919654384
baseline,riblt,2,0.4,100000,85716,2.9369099910000003
baseline,riblt,3,0.4,100000,85716,2.857367053
baseline,riblt,3,0.4,100000,85716,2.891746957
baseline,riblt,4,0.4,100000,85716,2.838531972
baseline,riblt,4,0.4,100000,85716,2.887612495
baseline,riblt,5,0.4,100000,85716,2.806371269
baseline,riblt,5,0.4,100000,85716,2.840115736
baseline,riblt,6,0.4,100000,85716,2.725695036
baseline,riblt,6,0.4,100000,85716,2.796782507
baseline,riblt,7,0.4,100000,85716,2.867825602
baseline,riblt,7,0.4,100000,85716,2.941478158
baseline,riblt,8,0.4,100000,85716,2.795771289
baseline,riblt,8,0.4,100000,85716,2.952943977
baseline,riblt,9,0.4,100000,85716,2.871059162
baseline,riblt,9,0.4,100000,85716,2.971885783
baseline,riblt,10,0.4,100000,85716,2.886132149
baseline,riblt,10,0.4,100000,85716,2.95809755
baseline,riblt,11,0.4,100000,85716,2.920671984
baseline,riblt,11,0.4,100000,85716,2.938939499
baseline,riblt,12,0.4,100000,85716,2.705858604
baseline,riblt,12,0.4,100000,85716,2.737015577
baseline,riblt,13,0.4,100000,85716,2.944261249
baseline,riblt,13,0.4,100000,85716,2.976616288
baseline,riblt,14,0.4,100000,85716,2.796728919
baseline,riblt,14,0.4,100000,85716,2.878970568
baseline,riblt,15,0.4,100000,85716,2.739518479
baseline,riblt,15,0.4,100000,85716,2.775452219
baseline,riblt,16,0.4,100000,85716,2.840109998
baseline,riblt,16,0.4,100000,85716,2.879532421
baseline,riblt,17,0.4,100000,85716,2.796395541
baseline,riblt,17,0.4,100000,85716,2.907883904
baseline,riblt,18,0.4,100000,85716,2.72323649
baseline,riblt,18,0.4,100000,85716,2.676906549
baseline,riblt,19,0.4,100000,85716,2.857235713
baseline,riblt,19,0.4,100000,85716,2.851192266
baseline,riblt,20,0.4,100000,85716,2.811491043
baseline,riblt,20,0.4,100000,85716,2.994407391
baseline,riblt,21,0.4,100000,85716,2.972987534
baseline,riblt,21,0.4,100000,85716,3.050114818
baseline,riblt,22,0.4,100000,85716,2.949032978
baseline,riblt,22,0.4,100000,85716,3.047718694
baseline,riblt,23,0.4,100000,85716,2.824530323
baseline,riblt,23,0.4,100000,85716,2.872805114
baseline,riblt,24,0.4,100000,85716,2.848707566
baseline,riblt,24,0.4,100000,85716,2.962822556
baseline,riblt,25,0.4,100000,85716,2.908008945
baseline,riblt,25,0.4,100000,85716,3.116772494
baseline,riblt,26,0.4,100000,85716,2.890539548
baseline,riblt,26,0.4,100000,85716,2.935071331
baseline,riblt,27,0.4,100000,85716,3.071155507
baseline,riblt,27,0.4,100000,85716,3.156685132
baseline,riblt,28,0.4,100000,85716,2.796789339
baseline,riblt,28,0.4,100000,85716,2.799251897
baseline,riblt,29,0.4,100000,85716,2.933926165
baseline,riblt,29,0.4,100000,85716,2.990575943
baseline,riblt,30,0.4,100000,85716,2.829087799
baseline,riblt,30,0.4,100000,85716,2.856670922
baseline,riblt,1,0.5,100000,66668,2.556942418
baseline,riblt,1,0.5,100000,66668,2.646908036
baseline,riblt,2,0.5,100000,66668,2.475057931
baseline,riblt,2,0.5,100000,66668,2.546550946
baseline,riblt,3,0.5,100000,66668,2.587678577
baseline,riblt,3,0.5,100000,66668,2.640413825
baseline,riblt,4,0.5,100000,66668,2.465731744
baseline,riblt,4,0.5,100000,66668,2.507758256
baseline,riblt,5,0.5,100000,66668,2.763447016
baseline,riblt,5,0.5,100000,66668,2.795119519
baseline,riblt,6,0.5,100000,66668,2.456199106
baseline,riblt,6,0.5,100000,66668,2.567322415
baseline,riblt,7,0.5,100000,66668,2.435447921
baseline,riblt,7,0.5,100000,66668,2.510302104
baseline,riblt,8,0.5,100000,66668,2.528270079
baseline,riblt,8,0.5,100000,66668,2.509733233
baseline,riblt,9,0.5,100000,66668,2.524926684
baseline,riblt,9,0.5,100000,66668,2.483918821
baseline,riblt,10,0.5,100000,66668,2.367988061
baseline,riblt,10,0.5,100000,66668,2.433908873
baseline,riblt,11,0.5,100000,66668,2.567891271
baseline,riblt,11,0.5,100000,66668,2.597550094
baseline,riblt,12,0.5,100000,66668,2.532437202
baseline,riblt,12,0.5,100000,66668,2.600256927
baseline,riblt,13,0.5,100000,66668,2.448560565
baseline,riblt,13,0.5,100000,66668,2.457215323
baseline,riblt,14,0.5,100000,66668,2.56537814
baseline,riblt,14,0.5,100000,66668,2.598957787
baseline,riblt,15,0.5,100000,66668,2.459232905
baseline,riblt,15,0.5,100000,66668,2.553807007
baseline,riblt,16,0.5,100000,66668,2.52402967
baseline,riblt,16,0.5,100000,66668,2.559177884
baseline,riblt,17,0.5,100000,66668,2.471091646
baseline,riblt,17,0.5,100000,66668,2.622086825
baseline,riblt,18,0.5,100000,66668,2.584341765
baseline,riblt,18,0.5,100000,66668,2.551959486
baseline,riblt,19,0.5,100000,66668,2.389622423
baseline,riblt,19,0.5,100000,66668,2.458261781
baseline,riblt,20,0.5,100000,66668,2.647753424
baseline,riblt,20,0.5,100000,66668,2.775124842
baseline,riblt,21,0.5,100000,66668,2.356839563
baseline,riblt,21,0.5,100000,66668,2.445018112
baseline,riblt,22,0.5,100000,66668,2.515396037
baseline,riblt,22,0.5,100000,66668,2.605213479
baseline,riblt,23,0.5,100000,66668,2.680390617
baseline,riblt,23,0.5,100000,66668,2.758028543
baseline,riblt,24,0.5,100000,66668,2.415156461
baseline,riblt,24,0.5,100000,66668,2.495820194
baseline,riblt,25,0.5,100000,66668,2.862875991
baseline,riblt,25,0.5,100000,66668,2.923324673
baseline,riblt,26,0.5,100000,66668,2.617049253
baseline,riblt,26,0.5,100000,66668,2.645899007
baseline,riblt,27,0.5,100000,66668,2.416185837
baseline,riblt,27,0.5,100000,66668,2.533931313
baseline,riblt,28,0.5,100000,66668,2.496135728
baseline,riblt,28,0.5,100000,66668,2.55467731
baseline,riblt,29,0.5,100000,66668,2.404954963
baseline,riblt,29,0.5,100000,66668,2.429471402
baseline,riblt,30,0.5,100000,66668,2.580586634
baseline,riblt,30,0.5,100000,66668,2.535981076
baseline,riblt,1,0.6,100000,50000,2.133707612
baseline,riblt,1,0.6,100000,50000,2.184495776
baseline,riblt,2,0.6,100000,50000,2.246861691
baseline,riblt,2,0.6,100000,50000,2.280429716
baseline,riblt,3,0.6,100000,50000,2.18946154
baseline,riblt,3,0.6,100000,50000,2.190912981
baseline,riblt,4,0.6,100000,50000,2.139875235
baseline,riblt,4,0.6,100000,50000,2.188562709
baseline,riblt,5,0.6,100000,50000,2.161584726
baseline,riblt,5,0.6,100000,50000,2.204615335
baseline,riblt,6,0.6,100000,50000,2.123119809
baseline,riblt,6,0.6,100000,50000,2.108733065
baseline,riblt,7,0.6,100000,50000,2.238556713
baseline,riblt,7,0.6,100000,50000,2.276769529
baseline,riblt,8,0.6,100000,50000,2.151042758
baseline,riblt,8,0.6,100000,50000,2.189984367
baseline,riblt,9,0.6,100000,50000,2.188941525
baseline,riblt,9,0.6,100000,50000,2.172612287
baseline,riblt,10,0.6,100000,50000,2.096446566
baseline,riblt,10,0.6,100000,50000,2.124492097
baseline,riblt,11,0.6,100000,50000,2.250638035
baseline,riblt,11,0.6,100000,50000,2.204984612
baseline,riblt,12,0.6,100000,50000,2.085420298
baseline,riblt,12,0.6,100000,50000,2.094889867
baseline,riblt,13,0.6,100000,50000,2.103377708
baseline,riblt,13,0.6,100000,50000,2.218630258
baseline,riblt,14,0.6,100000,50000,2.40678336
baseline,riblt,14,0.6,100000,50000,2.428706464
baseline,riblt,15,0.6,100000,50000,2.1649462
baseline,riblt,15,0.6,100000,50000,2.238886449
baseline,riblt,16,0.6,100000,50000,2.259550484
baseline,riblt,16,0.6,100000,50000,2.290495332
baseline,riblt,17,0.6,100000,50000,2.129595268
baseline,riblt,17,0.6,100000,50000,2.209840436
baseline,riblt,18,0.6,100000,50000,2.234156541
baseline,riblt,18,0.6,100000,50000,2.253850799
baseline,riblt,19,0.6,100000,50000,2.040250413
baseline,riblt,19,0.6,100000,50000,2.119052168
baseline,riblt,20,0.6,100000,50000,2.174496663
baseline,riblt,20,0.6,100000,50000,2.199230945
baseline,riblt,21,0.6,100000,50000,2.181538373
baseline,riblt,21,0.6,100000,50000,2.188186841
baseline,riblt,22,0.6,100000,50000,2.172018343
baseline,riblt,22,0.6,100000,50000,2.247734857
baseline,riblt,23,0.6,100000,50000,2.098770055
baseline,riblt,23,0.6,100000,50000,2.124574863
baseline,riblt,24,0.6,100000,50000,2.364274207
baseline,riblt,24,0.6,100000,50000,2.412875969
baseline,riblt,25,0.6,100000,50000,2.269253815
baseline,riblt,25,0.6,100000,50000,2.320013321
baseline,riblt,26,0.6,100000,50000,2.117828234
baseline,riblt,26,0.6,100000,50000,2.164523887
baseline,riblt,27,0.6,100000,50000,2.272716751
baseline,riblt,27,0.6,100000,50000,2.256427467
baseline,riblt,28,0.6,100000,50000,2.225062076
