run_id,protocol,trial,similarity,iteration,cpu_round_seconds,similarity_numeric,cpu_round_ms
sweep_merkle_n100000_sim10_t1,merkle,1,0.1,1,3.029174,0.1,3029.174
sweep_merkle_n100000_sim10_t10,merkle,10,0.1,1,2.737403,0.1,2737.4030000000002
sweep_merkle_n100000_sim10_t11,merkle,11,0.1,1,2.796725,0.1,2796.725
sweep_merkle_n100000_sim10_t12,merkle,12,0.1,1,3.038505,0.1,3038.5049999999997
sweep_merkle_n100000_sim10_t13,merkle,13,0.1,1,2.582735,0.1,2582.735
sweep_merkle_n100000_sim10_t14,merkle,14,0.1,1,2.999959,0.1,2999.959
sweep_merkle_n100000_sim10_t15,merkle,15,0.1,1,2.893507,0.1,2893.507
sweep_merkle_n100000_sim10_t16,merkle,16,0.1,1,2.8403460000000003,0.1,2840.3460000000005
sweep_merkle_n100000_sim10_t17,merkle,17,0.1,1,3.085348,0.1,3085.3480000000004
sweep_merkle_n100000_sim10_t18,merkle,18,0.1,1,2.821298,0.1,2821.2980000000002
sweep_merkle_n100000_sim10_t19,merkle,19,0.1,1,2.881076,0.1,2881.076
sweep_merkle_n100000_sim10_t2,merkle,2,0.1,1,2.841898,0.1,2841.898
sweep_merkle_n100000_sim10_t20,merkle,20,0.1,1,3.159883,0.1,3159.8830000000003
sweep_merkle_n100000_sim10_t21,merkle,21,0.1,1,2.810024,0.1,2810.024
sweep_merkle_n100000_sim10_t22,merkle,22,0.1,1,3.10214,0.1,3102.14
sweep_merkle_n100000_sim10_t23,merkle,23,0.1,1,3.109984,0.1,3109.984
sweep_merkle_n100000_sim10_t24,merkle,24,0.1,1,2.782237,0.1,2782.2369999999996
sweep_merkle_n100000_sim10_t25,merkle,25,0.1,1,2.478435,0.1,2478.435
sweep_merkle_n100000_sim10_t26,merkle,26,0.1,1,2.739681,0.1,2739.681
sweep_merkle_n100000_sim10_t27,merkle,27,0.1,1,3.015763,0.1,3015.7630000000004
sweep_merkle_n100000_sim10_t28,merkle,28,0.1,1,2.848266,0.1,2848.266
sweep_merkle_n100000_sim10_t29,merkle,29,0.1,1,2.912026,0.1,2912.026
sweep_merkle_n100000_sim10_t3,merkle,3,0.1,1,3.020696,0.1,3020.696
sweep_merkle_n100000_sim10_t30,merkle,30,0.1,1,3.119987,0.1,3119.987
sweep_merkle_n100000_sim10_t4,merkle,4,0.1,1,2.962018,0.1,2962.018
sweep_merkle_n100000_sim10_t5,merkle,5,0.1,1,2.814513,0.1,2814.513
sweep_merkle_n100000_sim10_t6,merkle,6,0.1,1,2.984603,0.1,2984.603
sweep_merkle_n100000_sim10_t7,merkle,7,0.1,1,3.0345310000000003,0.1,3034.5310000000004
sweep_merkle_n100000_sim10_t8,merkle,8,0.1,1,3.504303,0.1,3504.3030000000003
sweep_merkle_n100000_sim10_t9,merkle,9,0.1,1,3.015778,0.1,3015.7780000000002
