run_id,protocol,trial,similarity,iteration,rss_memory_bytes,similarity_numeric,rss_memory_mb
sweep_merkle_n100000_sim20_t2,merkle,2,0.2,1,451969024,0.2,431.03125
sweep_merkle_n100000_sim20_t20,merkle,20,0.2,1,427163648,0.2,407.375
sweep_merkle_n100000_sim20_t21,merkle,21,0.2,1,454848512,0.2,433.77734375
sweep_merkle_n100000_sim20_t22,merkle,22,0.2,1,390373376,0.2,372.2890625
sweep_merkle_n100000_sim20_t23,merkle,23,0.2,1,447291392,0.2,426.5703125
sweep_merkle_n100000_sim20_t24,merkle,24,0.2,1,435183616,0.2,415.0234375
sweep_merkle_n100000_sim20_t25,merkle,25,0.2,1,416489472,0.2,397.1953125
sweep_merkle_n100000_sim20_t26,merkle,26,0.2,1,468414464,0.2,446.71484375
sweep_merkle_n100000_sim20_t27,merkle,27,0.2,1,451796992,0.2,430.8671875
sweep_merkle_n100000_sim20_t28,merkle,28,0.2,1,422330368,0.2,402.765625
sweep_merkle_n100000_sim20_t29,merkle,29,0.2,1,420405248,0.2,400.9296875
sweep_merkle_n100000_sim20_t3,merkle,3,0.2,1,450252800,0.2,429.39453125
sweep_merkle_n100000_sim20_t30,merkle,30,0.2,1,414801920,0.2,395.5859375
sweep_merkle_n100000_sim20_t4,merkle,4,0.2,1,474374144,0.2,452.3984375
sweep_merkle_n100000_sim20_t5,merkle,5,0.2,1,427393024,0.2,407.59375
sweep_merkle_n100000_sim20_t6,merkle,6,0.2,1,484024320,0.2,461.6015625
sweep_merkle_n100000_sim20_t7,merkle,7,0.2,1,421568512,0.2,402.0390625
sweep_merkle_n100000_sim20_t8,merkle,8,0.2,1,454701056,0.2,433.63671875
sweep_merkle_n100000_sim20_t9,merkle,9,0.2,1,469876736,0.2,448.109375
sweep_merkle_n100000_sim30_t1,merkle,1,0.3,1,418496512,0.3,399.109375
sweep_merkle_n100000_sim30_t10,merkle,10,0.3,1,392404992,0.3,374.2265625
sweep_merkle_n100000_sim30_t11,merkle,11,0.3,1,375885824,0.3,358.47265625
sweep_merkle_n100000_sim30_t12,merkle,12,0.3,1,415637504,0.3,396.3828125
sweep_merkle_n100000_sim30_t13,merkle,13,0.3,1,419147776,0.3,399.73046875
sweep_merkle_n100000_sim30_t14,merkle,14,0.3,1,410664960,0.3,391.640625
sweep_merkle_n100000_sim30_t15,merkle,15,0.3,1,417878016,0.3,398.51953125
sweep_merkle_n100000_sim30_t16,merkle,16,0.3,1,365211648,0.3,348.29296875
sweep_merkle_n100000_sim30_t17,merkle,17,0.3,1,393609216,0.3,375.375
sweep_merkle_n100000_sim30_t18,merkle,18,0.3,1,396177408,0.3,377.82421875
sweep_merkle_n100000_sim30_t19,merkle,19,0.3,1,390795264,0.3,372.69140625
sweep_merkle_n100000_sim30_t2,merkle,2,0.3,1,417968128,0.3,398.60546875
sweep_merkle_n100000_sim30_t20,merkle,20,0.3,1,363466752,0.3,346.62890625
sweep_merkle_n100000_sim30_t21,merkle,21,0.3,1,441434112,0.3,420.984375
sweep_merkle_n100000_sim30_t22,merkle,22,0.3,1,399405056,0.3,380.90234375
sweep_merkle_n100000_sim30_t23,merkle,23,0.3,1,374267904,0.3,356.9296875
sweep_merkle_n100000_sim30_t24,merkle,24,0.3,1,371404800,0.3,354.19921875
sweep_merkle_n100000_sim30_t25,merkle,25,0.3,1,397541376,0.3,379.125
sweep_merkle_n100000_sim30_t26,merkle,26,0.3,1,395923456,0.3,377.58203125
sweep_merkle_n100000_sim30_t27,merkle,27,0.3,1,396693504,0.3,378.31640625
sweep_merkle_n100000_sim30_t28,merkle,28,0.3,1,403718144,0.3,385.015625
sweep_merkle_n100000_sim30_t29,merkle,29,0.3,1,408834048,0.3,389.89453125
sweep_merkle_n100000_sim30_t3,merkle,3,0.3,1,423919616,0.3,404.28125
sweep_merkle_n100000_sim30_t30,merkle,30,0.3,1,381718528,0.3,364.03515625
sweep_merkle_n100000_sim30_t4,merkle,4,0.3,1,394145792,0.3,375.88671875
sweep_merkle_n100000_sim30_t5,merkle,5,0.3,1,385810432,0.3,367.9375
sweep_merkle_n100000_sim30_t6,merkle,6,0.3,1,393478144,0.3,375.25
sweep_merkle_n100000_sim30_t7,merkle,7,0.3,1,392744960,0.3,374.55078125
sweep_merkle_n100000_sim30_t8,merkle,8,0.3,1,450392064,0.3,429.52734375
