run_id,protocol,trial,similarity,bytes_sent,transmitted_bytes,similarity_numeric
sweep_merkle_n100000_sim10_t25,merkle,25,0.1,108810298.0,108810298.0,0.1
sweep_merkle_n100000_sim10_t26,merkle,26,0.1,108810298.0,108810298.0,0.1
sweep_merkle_n100000_sim10_t27,merkle,27,0.1,108810298.0,108810298.0,0.1
sweep_merkle_n100000_sim10_t28,merkle,28,0.1,108810298.0,108810298.0,0.1
sweep_merkle_n100000_sim10_t29,merkle,29,0.1,108810298.0,108810298.0,0.1
sweep_merkle_n100000_sim10_t3,merkle,3,0.1,107960304.0,107960304.0,0.1
sweep_merkle_n100000_sim10_t30,merkle,30,0.1,108610962.0,108610962.0,0.1
sweep_merkle_n100000_sim10_t4,merkle,4,0.1,108155746.0,108155746.0,0.1
sweep_merkle_n100000_sim10_t5,merkle,5,0.1,108155746.0,108155746.0,0.1
sweep_merkle_n100000_sim10_t6,merkle,6,0.1,108155746.0,108155746.0,0.1
sweep_merkle_n100000_sim10_t7,merkle,7,0.1,107960304.0,107960304.0,0.1
sweep_merkle_n100000_sim10_t8,merkle,8,0.1,108155746.0,108155746.0,0.1
sweep_merkle_n100000_sim10_t9,merkle,9,0.1,108155746.0,108155746.0,0.1
sweep_merkle_n100000_sim20_t1,merkle,1,0.2,88213868.0,88213868.0,0.2
sweep_merkle_n100000_sim20_t10,merkle,10,0.2,88747204.0,88747204.0,0.2
sweep_merkle_n100000_sim20_t11,merkle,11,0.2,88747204.0,88747204.0,0.2
sweep_merkle_n100000_sim20_t12,merkle,12,0.2,88632018.0,88632018.0,0.2
sweep_merkle_n100000_sim20_t13,merkle,13,0.2,88747204.0,88747204.0,0.2
sweep_merkle_n100000_sim20_t14,merkle,14,0.2,88632018.0,88632018.0,0.2
sweep_merkle_n100000_sim20_t15,merkle,15,0.2,88632018.0,88632018.0,0.2
sweep_merkle_n100000_sim20_t16,merkle,16,0.2,88632018.0,88632018.0,0.2
sweep_merkle_n100000_sim20_t17,merkle,17,0.2,88747204.0,88747204.0,0.2
sweep_merkle_n100000_sim20_t18,merkle,18,0.2,88747204.0,88747204.0,0.2
sweep_merkle_n100000_sim20_t19,merkle,19,0.2,88747204.0,88747204.0,0.2
sweep_merkle_n100000_sim20_t2,merkle,2,0.2,88213868.0,88213868.0,0.2
sweep_merkle_n100000_sim20_t20,merkle,20,0.2,88747204.0,88747204.0,0.2
sweep_merkle_n100000_sim20_t21,merkle,21,0.2,88747204.0,88747204.0,0.2
sweep_merkle_n100000_sim20_t22,merkle,22,0.2,88747204.0,88747204.0,0.2
sweep_merkle_n100000_sim20_t23,merkle,23,0.2,88632018.0,88632018.0,0.2
sweep_merkle_n100000_sim20_t24,merkle,24,0.2,88632018.0,88632018.0,0.2
sweep_merkle_n100000_sim20_t25,merkle,25,0.2,88632018.0,88632018.0,0.2
sweep_merkle_n100000_sim20_t26,merkle,26,0.2,88747204.0,88747204.0,0.2
sweep_merkle_n100000_sim20_t27,merkle,27,0.2,88747204.0,88747204.0,0.2
sweep_merkle_n100000_sim20_t28,merkle,28,0.2,88747204.0,88747204.0,0.2
sweep_merkle_n100000_sim20_t29,merkle,29,0.2,88747204.0,88747204.0,0.2
sweep_merkle_n100000_sim20_t3,merkle,3,0.2,88213868.0,88213868.0,0.2
sweep_merkle_n100000_sim20_t30,merkle,30,0.2,88747204.0,88747204.0,0.2
sweep_merkle_n100000_sim20_t4,merkle,4,0.2,88100944.0,88100944.0,0.2
sweep_merkle_n100000_sim20_t5,merkle,5,0.2,88213868.0,88213868.0,0.2
sweep_merkle_n100000_sim20_t6,merkle,6,0.2,88100944.0,88100944.0,0.2
sweep_merkle_n100000_sim20_t7,merkle,7,0.2,87895252.0,87895252.0,0.2
sweep_merkle_n100000_sim20_t8,merkle,8,0.2,88213868.0,88213868.0,0.2
sweep_merkle_n100000_sim20_t9,merkle,9,0.2,88213868.0,88213868.0,0.2
sweep_merkle_n100000_sim30_t1,merkle,1,0.3,71205628.0,71205628.0,0.3
sweep_merkle_n100000_sim30_t10,merkle,10,0.3,71696250.0,71696250.0,0.3
sweep_merkle_n100000_sim30_t11,merkle,11,0.3,71696250.0,71696250.0,0.3
sweep_merkle_n100000_sim30_t12,merkle,12,0.3,71696250.0,71696250.0,0.3
sweep_merkle_n100000_sim30_t13,merkle,13,0.3,71696250.0,71696250.0,0.3
sweep_merkle_n100000_sim30_t14,merkle,14,0.3,71635206.0,71635206.0,0.3
sweep_merkle_n100000_sim30_t15,merkle,15,0.3,71635206.0,71635206.0,0.3
sweep_merkle_n100000_sim30_t16,merkle,16,0.3,71696250.0,71696250.0,0.3
sweep_merkle_n100000_sim30_t17,merkle,17,0.3,71696250.0,71696250.0,0.3
sweep_merkle_n100000_sim30_t18,merkle,18,0.3,71696250.0,71696250.0,0.3
sweep_merkle_n100000_sim30_t19,merkle,19,0.3,71635206.0,71635206.0,0.3
sweep_merkle_n100000_sim30_t2,merkle,2,0.3,71265474.0,71265474.0,0.3
sweep_merkle_n100000_sim30_t20,merkle,20,0.3,71696250.0,71696250.0,0.3
sweep_merkle_n100000_sim30_t21,merkle,21,0.3,71696250.0,71696250.0,0.3
sweep_merkle_n100000_sim30_t22,merkle,22,0.3,71696250.0,71696250.0,0.3
sweep_merkle_n100000_sim30_t23,merkle,23,0.3,71635206.0,71635206.0,0.3
sweep_merkle_n100000_sim30_t24,merkle,24,0.3,71696250.0,71696250.0,0.3
sweep_merkle_n100000_sim30_t25,merkle,25,0.3,71696250.0,71696250.0,0.3
sweep_merkle_n100000_sim30_t26,merkle,26,0.3,71696250.0,71696250.0,0.3
sweep_merkle_n100000_sim30_t27,merkle,27,0.3,71635206.0,71635206.0,0.3
sweep_merkle_n100000_sim30_t28,merkle,28,0.3,71696250.0,71696250.0,0.3
sweep_merkle_n100000_sim30_t29,merkle,29,0.3,71635206.0,71635206.0,0.3
sweep_merkle_n100000_sim30_t3,merkle,3,0.3,71265474.0,71265474.0,0.3
sweep_merkle_n100000_sim30_t30,merkle,30,0.3,71696250.0,71696250.0,0.3
sweep_merkle_n100000_sim30_t4,merkle,4,0.3,71265474.0,71265474.0,0.3
sweep_merkle_n100000_sim30_t5,merkle,5,0.3,71205628.0,71205628.0,0.3
sweep_merkle_n100000_sim30_t6,merkle,6,0.3,71265474.0,71265474.0,0.3
sweep_merkle_n100000_sim30_t7,merkle,7,0.3,71265474.0,71265474.0,0.3
sweep_merkle_n100000_sim30_t8,merkle,8,0.3,71265474.0,71265474.0,0.3
sweep_merkle_n100000_sim30_t9,merkle,9,0.3,71001190.0,71001190.0,0.3
sweep_merkle_n100000_sim40_t1,merkle,1,0.4,56580480.0,56580480.0,0.4
sweep_merkle_n100000_sim40_t10,merkle,10,0.4,57112800.0,57112800.0,0.4
sweep_merkle_n100000_sim40_t11,merkle,11,0.4,57112800.0,57112800.0,0.4
sweep_merkle_n100000_sim40_t12,merkle,12,0.4,57112800.0,57112800.0,0.4
sweep_merkle_n100000_sim40_t13,merkle,13,0.4,57112800.0,57112800.0,0.4
sweep_merkle_n100000_sim40_t14,merkle,14,0.4,57112800.0,57112800.0,0.4
sweep_merkle_n100000_sim40_t15,merkle,15,0.4,57112800.0,57112800.0,0.4
sweep_merkle_n100000_sim40_t16,merkle,16,0.4,57112800.0,57112800.0,0.4
sweep_merkle_n100000_sim40_t17,merkle,17,0.4,57112800.0,57112800.0,0.4
sweep_merkle_n100000_sim40_t18,merkle,18,0.4,57112800.0,57112800.0,0.4
sweep_merkle_n100000_sim40_t19,merkle,19,0.4,57112800.0,57112800.0,0.4
sweep_merkle_n100000_sim40_t2,merkle,2,0.4,56769936.0,56769936.0,0.4
sweep_merkle_n100000_sim40_t20,merkle,20,0.4,57112800.0,57112800.0,0.4
sweep_merkle_n100000_sim40_t21,merkle,21,0.4,57112800.0,57112800.0,0.4
sweep_merkle_n100000_sim40_t22,merkle,22,0.4,56919548.0,56919548.0,0.4
sweep_merkle_n100000_sim40_t23,merkle,23,0.4,56919548.0,56919548.0,0.4
sweep_merkle_n100000_sim40_t24,merkle,24,0.4,57112800.0,57112800.0,0.4
sweep_merkle_n100000_sim40_t25,merkle,25,0.4,57112800.0,57112800.0,0.4
sweep_merkle_n100000_sim40_t26,merkle,26,0.4,56919548.0,56919548.0,0.4
sweep_merkle_n100000_sim40_t27,merkle,27,0.4,57112800.0,57112800.0,0.4
sweep_merkle_n100000_sim40_t28,merkle,28,0.4,57112800.0,57112800.0,0.4
sweep_merkle_n100000_sim40_t29,merkle,29,0.4,57112800.0,57112800.0,0.4
sweep_merkle_n100000_sim40_t3,merkle,3,0.4,56769936.0,56769936.0,0.4
sweep_merkle_n100000_sim40_t30,merkle,30,0.4,57112800.0,57112800.0,0.4
sweep_merkle_n100000_sim40_t4,merkle,4,0.4,56769936.0,56769936.0,0.4
sweep_merkle_n100000_sim40_t5,merkle,5,0.4,56769936.0,56769936.0,0.4
sweep_merkle_n100000_sim40_t6,merkle,6,0.4,56580480.0,56580480.0,0.4
sweep_merkle_n100000_sim40_t7,merkle,7,0.4,56580480.0,56580480.0,0.4
sweep_merkle_n100000_sim40_t8,merkle,8,0.4,56769936.0,56769936.0,0.4
sweep_merkle_n100000_sim40_t9,merkle,9,0.4,56580480.0,56580480.0,0.4
sweep_merkle_n100000_sim50_t1,merkle,1,0.5,44202720.0,44202720.0,0.5
sweep_merkle_n100000_sim50_t10,merkle,10,0.5,44469392.0,44469392.0,0.5
sweep_merkle_n100000_sim50_t11,merkle,11,0.5,44469392.0,44469392.0,0.5
sweep_merkle_n100000_sim50_t12,merkle,12,0.5,44469392.0,44469392.0,0.5
sweep_merkle_n100000_sim50_t13,merkle,13,0.5,44469392.0,44469392.0,0.5
sweep_merkle_n100000_sim50_t14,merkle,14,0.5,44469392.0,44469392.0,0.5
sweep_merkle_n100000_sim50_t15,merkle,15,0.5,44469392.0,44469392.0,0.5
sweep_merkle_n100000_sim50_t16,merkle,16,0.5,44411706.0,44411706.0,0.5
